timestamp,mem_usage,cpu_perc
2026-06-28T14:14:42Z,345.6MiB / 7.654GiB,22.74%
2026-06-28T14:14:48Z,345.3MiB / 7.654GiB,21.25%
2026-06-28T14:14:55Z,345.6MiB / 7.654GiB,23.33%
2026-06-28T14:15:02Z,345.6MiB / 7.654GiB,21.93%
2026-06-28T14:15:08Z,345.6MiB / 7.654GiB,23.22%
2026-06-28T14:15:15Z,345.6MiB / 7.654GiB,25.10%
2026-06-28T14:15:22Z,345.3MiB / 7.654GiB,22.35%
2026-06-28T14:15:28Z,345.3MiB / 7.654GiB,21.67%
2026-06-28T14:15:35Z,345.9MiB / 7.654GiB,24.18%
2026-06-28T14:15:42Z,345.4MiB / 7.654GiB,23.32%
2026-06-28T14:15:48Z,345.4MiB / 7.654GiB,23.56%
2026-06-28T14:15:55Z,345.4MiB / 7.654GiB,25.56%
2026-06-28T14:16:02Z,345.4MiB / 7.654GiB,21.32%
2026-06-28T14:16:08Z,345.3MiB / 7.654GiB,24.37%
2026-06-28T14:16:15Z,345.4MiB / 7.654GiB,25.17%
2026-06-28T14:16:22Z,346.1MiB / 7.654GiB,18.49%
2026-06-28T14:16:28Z,345.4MiB / 7.654GiB,19.91%
2026-06-28T14:16:35Z,345.6MiB / 7.654GiB,25.23%
2026-06-28T14:16:42Z,345.6MiB / 7.654GiB,23.17%
2026-06-28T14:16:48Z,345.6MiB / 7.654GiB,21.68%
2026-06-28T14:16:55Z,345.6MiB / 7.654GiB,23.88%
2026-06-28T14:17:02Z,345.6MiB / 7.654GiB,22.53%
2026-06-28T14:17:08Z,345.4MiB / 7.654GiB,21.33%
2026-06-28T14:17:15Z,345.4MiB / 7.654GiB,25.42%
2026-06-28T14:17:22Z,345.6MiB / 7.654GiB,25.21%
2026-06-28T14:17:28Z,347.4MiB / 7.654GiB,21.31%
2026-06-28T14:17:35Z,345.9MiB / 7.654GiB,25.57%
2026-06-28T14:17:42Z,345.4MiB / 7.654GiB,25.13%
2026-06-28T14:17:48Z,346MiB / 7.654GiB,24.71%
2026-06-28T14:17:55Z,346.2MiB / 7.654GiB,23.99%
2026-06-28T14:18:02Z,346.5MiB / 7.654GiB,23.50%
2026-06-28T14:18:08Z,346MiB / 7.654GiB,25.23%
2026-06-28T14:18:15Z,346MiB / 7.654GiB,21.32%
2026-06-28T14:18:22Z,346.5MiB / 7.654GiB,24.65%
2026-06-28T14:18:28Z,346MiB / 7.654GiB,24.46%
2026-06-28T14:18:35Z,346.2MiB / 7.654GiB,22.42%
2026-06-28T14:18:42Z,346MiB / 7.654GiB,26.19%
2026-06-28T14:18:48Z,347.7MiB / 7.654GiB,20.05%
2026-06-28T14:18:55Z,347.8MiB / 7.654GiB,22.72%
2026-06-28T14:19:02Z,348.5MiB / 7.654GiB,24.98%
2026-06-28T14:19:08Z,345.8MiB / 7.654GiB,20.96%
2026-06-28T14:19:15Z,345.8MiB / 7.654GiB,22.81%
2026-06-28T14:19:22Z,351.9MiB / 7.654GiB,25.20%
2026-06-28T14:19:28Z,346MiB / 7.654GiB,19.20%
2026-06-28T14:19:35Z,346.5MiB / 7.654GiB,23.65%
2026-06-28T14:19:42Z,346.5MiB / 7.654GiB,22.23%
2026-06-28T14:19:48Z,346.1MiB / 7.654GiB,19.63%
2026-06-28T14:19:55Z,346.1MiB / 7.654GiB,25.42%
2026-06-28T14:20:02Z,346.3MiB / 7.654GiB,21.95%
2026-06-28T14:20:08Z,346.1MiB / 7.654GiB,24.05%
2026-06-28T14:20:15Z,346.6MiB / 7.654GiB,23.25%
2026-06-28T14:20:22Z,347.3MiB / 7.654GiB,23.76%
2026-06-28T14:20:28Z,346.1MiB / 7.654GiB,21.89%
2026-06-28T14:20:35Z,346.1MiB / 7.654GiB,24.19%
2026-06-28T14:20:42Z,346.1MiB / 7.654GiB,25.33%
2026-06-28T14:20:48Z,346.1MiB / 7.654GiB,19.20%
2026-06-28T14:20:55Z,346.4MiB / 7.654GiB,26.54%
2026-06-28T14:21:02Z,346.4MiB / 7.654GiB,25.68%
2026-06-28T14:21:08Z,346.1MiB / 7.654GiB,20.73%
2026-06-28T14:21:15Z,346.6MiB / 7.654GiB,21.34%
2026-06-28T14:21:22Z,346.4MiB / 7.654GiB,24.96%
2026-06-28T14:21:28Z,346.1MiB / 7.654GiB,19.78%
2026-06-28T14:21:35Z,346.4MiB / 7.654GiB,20.44%
2026-06-28T14:21:42Z,346.2MiB / 7.654GiB,24.53%
2026-06-28T14:21:48Z,346.1MiB / 7.654GiB,21.01%
2026-06-28T14:21:55Z,346.2MiB / 7.654GiB,21.82%
2026-06-28T14:22:02Z,346.7MiB / 7.654GiB,23.26%
2026-06-28T14:22:08Z,346.1MiB / 7.654GiB,23.44%
2026-06-28T14:22:15Z,346.4MiB / 7.654GiB,22.66%
2026-06-28T14:22:22Z,346.7MiB / 7.654GiB,23.73%
2026-06-28T14:22:28Z,346.1MiB / 7.654GiB,19.93%
2026-06-28T14:22:35Z,346.7MiB / 7.654GiB,23.11%
2026-06-28T14:22:42Z,346.7MiB / 7.654GiB,26.06%
2026-06-28T14:22:48Z,346.4MiB / 7.654GiB,24.45%
2026-06-28T14:22:55Z,346.2MiB / 7.654GiB,25.35%
2026-06-28T14:23:02Z,346.2MiB / 7.654GiB,23.67%
2026-06-28T14:23:08Z,346.2MiB / 7.654GiB,25.49%
2026-06-28T14:23:15Z,346.5MiB / 7.654GiB,21.18%
2026-06-28T14:23:22Z,346.5MiB / 7.654GiB,23.62%
2026-06-28T14:23:28Z,346.2MiB / 7.654GiB,22.22%
